timesteps,episode,ep_return,ep_len,rollout_ep_rew_mean_100,rollout_ep_len_mean_100,success,final_dist,path_len,straight_dist,path_eff,reverse_ratio,heading_abs_mean,action_smooth_mean
8850,39,2.1547227961382305,250,-7.459117501070312,221.25,0,0.4541610883532663,7.095876858942203,4.926856972021621,0.6943267294461023,0.0,0.7382826388115273,0.3874782327053896
9100,40,-7.583569480826554,250,-7.462152915210709,221.9512195121951,0,1.995342552935203,7.110832747304813,1.9401268184207323,0.2728410141774309,0.0,1.6083870295752696,0.4069782348357171
9207,41,11.733085391722852,107,-7.00512343171229,219.21428571428572,1,0.17245778620342014,3.2337538126506824,2.6962622818998696,0.8337871211320705,0.0,0.5101913462374384,0.3768039434260847
9441,42,9.528608714521397,234,-6.62061803296267,219.5581395348837,1,0.19452130601990983,6.868338374956511,3.599609070249643,0.5240873226885003,0.0,0.9913718429501025,0.4113338890929143
9585,43,12.765776461106725,144,-6.1800181580974565,217.8409090909091,1,0.18844925891315784,4.3798922573041645,3.8938557483222986,0.8890300307795648,0.0,0.4691879739744902,0.40496000650638414
9835,44,-5.116010477358941,250,-6.156373542969934,218.55555555555554,0,0.5771712657419076,7.08693090840243,1.585295467361624,0.22369280692183138,0.0,1.375528862925617,0.3478490542770031
10085,45,-3.4926794893690385,250,-6.098467150500349,219.2391304347826,0,1.0252448934700267,7.48316313971299,3.1353711393725607,0.4189900822465318,0.0,1.1595743497614985,0.39083621687962705
10279,46,12.410422069719061,194,-5.704660996878659,218.70212765957447,1,0.18963265503057772,5.953013506787835,4.275039605093698,0.7181303385619986,0.0,0.7073953412771482,0.3778228487848386
10529,47,-5.053351353213657,250,-5.691092045968972,219.35416666666666,0,1.219523909468152,6.963974135860925,2.622218655845314,0.37654055065228087,0.0,1.277083086152098,0.40667134579822767
10741,48,8.320228442840744,212,-5.405146729870815,219.20408163265307,1,0.19296523816039396,6.159055893984629,2.5806295810594944,0.41899759078009347,0.0,1.0903472737010125,0.390858585142941
10775,49,10.704809666145593,34,-5.082947601950487,215.5,1,0.19106798133773953,1.0217418728861951,1.1138906041345213,1.0901878778717626,0.0,0.3800331405157801,0.38173878751695156
11025,50,-2.347533833650232,250,-5.029312037866168,216.1764705882353,0,0.772436946158616,7.536816277215251,3.5442496015775067,0.4702581927454198,0.0,1.124389824603557,0.37968163614172534
11151,51,12.16575898040901,126,-4.69863759520703,214.44230769230768,1,0.19648118168126283,3.5669160623801868,3.128278306498501,0.8770260504563192,0.0,0.4582481476620065,0.427070115737617
11401,52,-5.7643523120750615,250,-4.7187454200535965,215.11320754716982,0,0.2198196480320289,7.3252940268488596,1.0338916882631797,0.14113995758719483,0.0,1.3926862645610674,0.3405259930113532
11500,53,11.979224175564013,99,-4.4095237608754925,212.96296296296296,1,0.1972473470900968,3.044083918561229,2.8299267514597695,0.9296480738275179,0.0,0.45853557303615444,0.404194233625443
11617,54,11.899426493153442,117,-4.112997392620421,211.21818181818182,1,0.17400542999859045,3.0726297968707525,2.7364810449398247,0.8905990066641707,0.0,0.4032871488625755,0.402825397288764
11867,55,-0.8150583826500224,250,-4.054105624585235,211.91071428571428,0,0.4377610998977451,6.958791150746397,3.8253823275750327,0.5497193757804792,0.0,0.907888824992481,0.34568739113356756
11950,56,11.643340645474382,83,-3.778711830373663,209.64912280701753,1,0.18587740927450463,2.19042016142048,2.301728974449696,1.05081619270571,0.0,0.20494079042262323,0.42549825580109185
12049,57,12.015684269135818,99,-3.506394656244189,207.74137931034483,1,0.19984827025056198,2.9974924302194275,2.8598817763501545,0.9540914090451267,0.0,0.3592150197971431,0.37384454569570263
12132,58,12.039275794522837,83,-3.2429087164006805,205.6271186440678,1,0.15581094543694843,2.6148672907147565,2.7482311154620445,1.0510021388928055,0.0,0.11185041675878944,0.4121236324810037
12255,59,12.640218031127006,123,-2.9781899372752187,204.25,1,0.1979916406197968,3.576164242316737,3.6149835732998707,1.0108550190519174,0.0,0.1837106994968616,0.4274767647501173
12425,60,9.876150592971499,170,-2.767463043336748,203.68852459016392,1,0.19502295150515941,4.980788083875087,2.5982627093893007,0.521656947783218,0.0,0.9163332935802473,0.3891327354820037
12675,61,-0.10842347153811716,250,-2.7245753083077378,204.43548387096774,0,0.5683277198583455,7.164621481538054,4.212870722061117,0.5880102295588022,0.0,0.9457349757527853,0.3444294518965061
